"Zip Code","Year","Month","Registry Enrollments"
"14850","2008","9","246"
"11215","2008","9","199"
"10025","2008","9","193"
"11238","2008","9","160"
"11201","2008","9","154"
"10024","2008","9","151"
"10023","2008","9","150"
"10128","2008","9","138"
"10011","2008","9","135"
"10009","2008","9","128"
"11217","2008","9","123"
"10003","2008","9","123"
"11211","2008","9","122"
"10019","2008","9","119"
"10016","2008","9","111"
"11231","2008","9","107"
"10021","2008","9","104"
"10028","2008","9","103"
"12866","2008","9","100"
"10014","2008","9","97"
"14221","2008","9","95"
"11218","2008","9","95"
"13601","2008","9","91"
"11222","2008","9","91"
"12065","2008","9","89"
"11226","2008","9","88"
"11377","2008","9","88"
"10463","2008","9","87"
"10027","2008","9","85"
"10002","2008","9","85"
"10036","2008","9","84"
"10032","2008","9","83"
"14120","2008","9","83"
"10029","2008","9","81"
"11746","2008","9","79"
"11221","2008","9","78"
"12901","2008","9","78"
"11216","2008","9","78"
"11385","2008","9","78"
"12020","2008","9","75"
"14075","2008","9","75"
"11561","2008","9","74"
"14094","2008","9","73"
"14224","2008","9","72"
"11206","2008","9","71"
"10022","2008","9","70"
"11375","2008","9","69"
"10033","2008","9","69"
"11205","2008","9","68"
"11102","2008","9","67"
"14580","2008","9","67"
"14086","2008","9","67"
"13027","2008","9","67"
"10026","2008","9","65"
"10467","2008","9","65"
"10314","2008","9","64"
"11758","2008","9","64"
"11209","2008","9","63"
"11103","2008","9","62"
"11772","2008","9","62"
"10010","2008","9","62"
"10701","2008","9","62"
"12180","2008","9","62"
"12601","2008","9","61"
"12603","2008","9","61"
"14150","2008","9","61"
"10940","2008","9","60"
"10040","2008","9","60"
"11743","2008","9","60"
"10462","2008","9","60"
"11756","2008","9","60"
"14450","2008","9","60"
"11106","2008","9","59"
"11706","2008","9","59"
"10456","2008","9","58"
"10034","2008","9","58"
"13760","2008","9","57"
"11779","2008","9","57"
"14830","2008","9","57"
"11233","2008","9","57"
"14424","2008","9","56"
"10031","2008","9","56"
"10012","2008","9","55"
"11372","2008","9","55"
"11727","2008","9","55"
"11207","2008","9","55"
"12401","2008","9","55"
"12590","2008","9","55"
"14226","2008","9","54"
"10001","2008","9","54"
"10458","2008","9","54"
